order_id,product_id,product_name,quantity,list_price,discount,order_total
1,20,Electra Townie Original 7D EQ - Women's - 2016,1,599.99,0.2,479.992
2,20,Electra Townie Original 7D EQ - Women's - 2016,1,599.99,0.07,557.9907
3,20,Electra Townie Original 7D EQ - Women's - 2016,1,599.99,0.05,569.9905
6,20,Electra Townie Original 7D EQ - Women's - 2016,1,599.99,0.1,539.991
8,20,Electra Townie Original 7D EQ - Women's - 2016,2,599.99,0.07,1115.9814
13,20,Electra Townie Original 7D EQ - Women's - 2016,2,599.99,0.1,1079.982
17,20,Electra Townie Original 7D EQ - Women's - 2016,2,599.99,0.2,959.984
35,20,Electra Townie Original 7D EQ - Women's - 2016,2,599.99,0.05,1139.981
51,20,Electra Townie Original 7D EQ - Women's - 2016,1,599.99,0.05,569.9905
56,20,Electra Townie Original 7D EQ - Women's - 2016,2,599.99,0.07,1115.9814
70,20,Electra Townie Original 7D EQ - Women's - 2016,1,599.99,0.05,569.9905
77,20,Electra Townie Original 7D EQ - Women's - 2016,1,599.99,0.07,557.9907
83,20,Electra Townie Original 7D EQ - Women's - 2016,1,599.99,0.2,479.992
87,20,Electra Townie Original 7D EQ - Women's - 2016,2,599.99,0.2,959.984
95,20,Electra Townie Original 7D EQ - Women's - 2016,2,599.99,0.05,1139.981
97,20,Electra Townie Original 7D EQ - Women's - 2016,2,599.99,0.2,959.984
1,8,Trek Remedy 29 Carbon Frameset - 2016,2,1799.99,0.07,3347.9814
11,8,Trek Remedy 29 Carbon Frameset - 2016,1,1799.99,0.05,1709.9905
15,8,Trek Remedy 29 Carbon Frameset - 2016,1,1799.99,0.07,1673.9907
16,8,Trek Remedy 29 Carbon Frameset - 2016,1,1799.99,0.2,1439.992
17,8,Trek Remedy 29 Carbon Frameset - 2016,1,1799.99,0.07,1673.9907
27,8,Trek Remedy 29 Carbon Frameset - 2016,1,1799.99,0.07,1673.9907
29,8,Trek Remedy 29 Carbon Frameset - 2016,1,1799.99,0.2,1439.992
32,8,Trek Remedy 29 Carbon Frameset - 2016,2,1799.99,0.07,3347.9814
34,8,Trek Remedy 29 Carbon Frameset - 2016,2,1799.99,0.07,3347.9814
40,8,Trek Remedy 29 Carbon Frameset - 2016,2,1799.99,0.2,2879.984
53,8,Trek Remedy 29 Carbon Frameset - 2016,2,1799.99,0.2,2879.984
62,8,Trek Remedy 29 Carbon Frameset - 2016,2,1799.99,0.1,3239.982
88,8,Trek Remedy 29 Carbon Frameset - 2016,2,1799.99,0.1,3239.982
92,8,Trek Remedy 29 Carbon Frameset - 2016,1,1799.99,0.1,1619.991
95,8,Trek Remedy 29 Carbon Frameset - 2016,2,1799.99,0.2,2879.984
4,2,Ritchey Timberwolf Frameset - 2016,2,749.99,0.1,1349.982
18,2,Ritchey Timberwolf Frameset - 2016,2,749.99,0.2,1199.984
26,2,Ritchey Timberwolf Frameset - 2016,1,749.99,0.2,599.992
59,2,Ritchey Timberwolf Frameset - 2016,1,749.99,0.1,674.991
66,2,Ritchey Timberwolf Frameset - 2016,1,749.99,0.2,599.992
93,2,Ritchey Timberwolf Frameset - 2016,1,749.99,0.2,599.992
97,2,Ritchey Timberwolf Frameset - 2016,1,749.99,0.07,697.4907
98,2,Ritchey Timberwolf Frameset - 2016,1,749.99,0.2,599.992
1,10,Surly Straggler - 2016,2,1549,0.05,2943.1
5,10,Surly Straggler - 2016,2,1549,0.05,2943.1
19,10,Surly Straggler - 2016,1,1549,0.07,1440.57
20,10,Surly Straggler - 2016,2,1549,0.07,2881.14
21,10,Surly Straggler - 2016,1,1549,0.07,1440.57
25,10,Surly Straggler - 2016,2,1549,0.2,2478.4
34,10,Surly Straggler - 2016,2,1549,0.1,2788.2
38,10,Surly Straggler - 2016,2,1549,0.1,2788.2
69,10,Surly Straggler - 2016,1,1549,0.05,1471.55
81,10,Surly Straggler - 2016,2,1549,0.2,2478.4
88,10,Surly Straggler - 2016,1,1549,0.07,1440.57
93,10,Surly Straggler - 2016,2,1549,0.07,2881.14
95,10,Surly Straggler - 2016,2,1549,0.2,2478.4
3,3,Surly Wednesday Frameset - 2016,1,999.99,0.05,949.9905
6,3,Surly Wednesday Frameset - 2016,2,999.99,0.07,1859.9814
7,3,Surly Wednesday Frameset - 2016,1,999.99,0.1,899.991
24,3,Surly Wednesday Frameset - 2016,2,999.99,0.1,1799.982
36,3,Surly Wednesday Frameset - 2016,2,999.99,0.2,1599.984
39,3,Surly Wednesday Frameset - 2016,2,999.99,0.05,1899.981
50,3,Surly Wednesday Frameset - 2016,1,999.99,0.05,949.9905
54,3,Surly Wednesday Frameset - 2016,1,999.99,0.2,799.992
63,3,Surly Wednesday Frameset - 2016,1,999.99,0.1,899.991
70,3,Surly Wednesday Frameset - 2016,2,999.99,0.05,1899.981
73,3,Surly Wednesday Frameset - 2016,2,999.99,0.07,1859.9814
75,3,Surly Wednesday Frameset - 2016,1,999.99,0.1,899.991
83,3,Surly Wednesday Frameset - 2016,2,999.99,0.05,1899.981
90,3,Surly Wednesday Frameset - 2016,1,999.99,0.1,899.991
103,3,Surly Wednesday Frameset - 2016,1,999.99,0.05,949.9905
105,3,Surly Wednesday Frameset - 2016,1,999.99,0.05,949.9905
1,16,Electra Townie Original 7D EQ - 2016,2,599.99,0.05,1139.981
2,16,Electra Townie Original 7D EQ - 2016,2,599.99,0.05,1139.981
11,16,Electra Townie Original 7D EQ - 2016,2,599.99,0.2,959.984
13,16,Electra Townie Original 7D EQ - 2016,2,599.99,0.05,1139.981
37,16,Electra Townie Original 7D EQ - 2016,2,599.99,0.05,1139.981
39,16,Electra Townie Original 7D EQ - 2016,2,599.99,0.2,959.984
44,16,Electra Townie Original 7D EQ - 2016,1,599.99,0.05,569.9905
74,16,Electra Townie Original 7D EQ - 2016,2,599.99,0.05,1139.981
100,16,Electra Townie Original 7D EQ - 2016,2,599.99,0.2,959.984
108,16,Electra Townie Original 7D EQ - 2016,2,599.99,0.05,1139.981
1,4,Trek Fuel EX 8 29 - 2016,1,2899.99,0.2,2319.992
12,4,Trek Fuel EX 8 29 - 2016,2,2899.99,0.1,5219.982
23,4,Trek Fuel EX 8 29 - 2016,2,2899.99,0.05,5509.981
30,4,Trek Fuel EX 8 29 - 2016,1,2899.99,0.1,2609.991
45,4,Trek Fuel EX 8 29 - 2016,2,2899.99,0.2,4639.984
48,4,Trek Fuel EX 8 29 - 2016,1,2899.99,0.2,2319.992
60,4,Trek Fuel EX 8 29 - 2016,1,2899.99,0.1,2609.991
85,4,Trek Fuel EX 8 29 - 2016,2,2899.99,0.05,5509.981
94,4,Trek Fuel EX 8 29 - 2016,1,2899.99,0.2,2319.992
17,5,Heller Shagamaw Frame - 2016,1,1320.99,0.1,1188.891
27,5,Heller Shagamaw Frame - 2016,1,1320.99,0.2,1056.792
28,5,Heller Shagamaw Frame - 2016,1,1320.99,0.05,1254.9405
35,5,Heller Shagamaw Frame - 2016,1,1320.99,0.2,1056.792
36,5,Heller Shagamaw Frame - 2016,1,1320.99,0.05,1254.9405
41,5,Heller Shagamaw Frame - 2016,1,1320.99,0.1,1188.891
48,5,Heller Shagamaw Frame - 2016,2,1320.99,0.1,2377.782
61,5,Heller Shagamaw Frame - 2016,2,1320.99,0.2,2113.584
67,5,Heller Shagamaw Frame - 2016,2,1320.99,0.1,2377.782
69,5,Heller Shagamaw Frame - 2016,1,1320.99,0.2,1056.792
76,5,Heller Shagamaw Frame - 2016,1,1320.99,0.07,1228.5207
89,5,Heller Shagamaw Frame - 2016,1,1320.99,0.05,1254.9405
14,6,Surly Ice Cream Truck Frameset - 2016,1,469.99,0.07,437.0907
28,6,Surly Ice Cream Truck Frameset - 2016,1,469.99,0.05,446.4905
29,6,Surly Ice Cream Truck Frameset - 2016,1,469.99,0.2,375.992
47,6,Surly Ice Cream Truck Frameset - 2016,1,469.99,0.05,446.4905
74,6,Surly Ice Cream Truck Frameset - 2016,1,469.99,0.07,437.0907
79,6,Surly Ice Cream Truck Frameset - 2016,1,469.99,0.1,422.991
89,6,Surly Ice Cream Truck Frameset - 2016,2,469.99,0.1,845.982
90,6,Surly Ice Cream Truck Frameset - 2016,1,469.99,0.07,437.0907
97,6,Surly Ice Cream Truck Frameset - 2016,2,469.99,0.2,751.984
109,6,Surly Ice Cream Truck Frameset - 2016,1,469.99,0.07,437.0907
9,7,Trek Slash 8 27.5 - 2016,2,3999.99,0.1,7199.982
18,7,Trek Slash 8 27.5 - 2016,1,3999.99,0.1,3599.991
26,7,Trek Slash 8 27.5 - 2016,1,3999.99,0.05,3799.9905
28,7,Trek Slash 8 27.5 - 2016,2,3999.99,0.2,6399.984
30,7,Trek Slash 8 27.5 - 2016,2,3999.99,0.1,7199.982
33,7,Trek Slash 8 27.5 - 2016,1,3999.99,0.1,3599.991
38,7,Trek Slash 8 27.5 - 2016,2,3999.99,0.05,7599.981
44,7,Trek Slash 8 27.5 - 2016,1,3999.99,0.1,3599.991
75,7,Trek Slash 8 27.5 - 2016,2,3999.99,0.07,7439.9814
88,7,Trek Slash 8 27.5 - 2016,1,3999.99,0.1,3599.991
99,7,Trek Slash 8 27.5 - 2016,2,3999.99,0.07,7439.9814
100,7,Trek Slash 8 27.5 - 2016,2,3999.99,0.2,6399.984
6,9,Trek Conduit+ - 2016,2,2999.99,0.07,5579.9814
18,9,Trek Conduit+ - 2016,2,2999.99,0.1,5399.982
19,9,Trek Conduit+ - 2016,2,2999.99,0.2,4799.984
20,9,Trek Conduit+ - 2016,1,2999.99,0.07,2789.9907
31,9,Trek Conduit+ - 2016,2,2999.99,0.2,4799.984
36,9,Trek Conduit+ - 2016,1,2999.99,0.07,2789.9907
79,9,Trek Conduit+ - 2016,2,2999.99,0.1,5399.982
86,9,Trek Conduit+ - 2016,2,2999.99,0.1,5399.982
103,9,Trek Conduit+ - 2016,2,2999.99,0.1,5399.982
105,9,Trek Conduit+ - 2016,1,2999.99,0.05,2849.9905
12,11,Surly Straggler 650b - 2016,1,1680.99,0.05,1596.9405
31,11,Surly Straggler 650b - 2016,2,1680.99,0.05,3193.881
48,11,Surly Straggler 650b - 2016,1,1680.99,0.1,1512.891
76,11,Surly Straggler 650b - 2016,2,1680.99,0.1,3025.782
82,11,Surly Straggler 650b - 2016,2,1680.99,0.2,2689.584
91,11,Surly Straggler 650b - 2016,1,1680.99,0.1,1512.891
94,11,Surly Straggler 650b - 2016,1,1680.99,0.2,1344.792
100,11,Surly Straggler 650b - 2016,2,1680.99,0.1,3025.782
105,11,Surly Straggler 650b - 2016,2,1680.99,0.2,2689.584
108,11,Surly Straggler 650b - 2016,1,1680.99,0.1,1512.891
5,17,Pure Cycles Vine 8-Speed - 2016,1,429,0.07,398.97
7,17,Pure Cycles Vine 8-Speed - 2016,2,429,0.1,772.2
13,17,Pure Cycles Vine 8-Speed - 2016,2,429,0.05,815.1
21,17,Pure Cycles Vine 8-Speed - 2016,1,429,0.1,386.1
30,17,Pure Cycles Vine 8-Speed - 2016,1,429,0.07,398.97
34,17,Pure Cycles Vine 8-Speed - 2016,2,429,0.2,686.4
40,17,Pure Cycles Vine 8-Speed - 2016,1,429,0.2,343.2
46,17,Pure Cycles Vine 8-Speed - 2016,1,429,0.1,386.1
59,17,Pure Cycles Vine 8-Speed - 2016,2,429,0.1,772.2
68,17,Pure Cycles Vine 8-Speed - 2016,1,429,0.1,386.1
72,17,Pure Cycles Vine 8-Speed - 2016,2,429,0.07,797.94
78,17,Pure Cycles Vine 8-Speed - 2016,1,429,0.07,398.97
79,17,Pure Cycles Vine 8-Speed - 2016,2,429,0.05,815.1
80,17,Pure Cycles Vine 8-Speed - 2016,1,429,0.2,343.2
93,17,Pure Cycles Vine 8-Speed - 2016,1,429,0.05,407.55
103,17,Pure Cycles Vine 8-Speed - 2016,1,429,0.07,398.97
106,17,Pure Cycles Vine 8-Speed - 2016,1,429,0.1,386.1
6,12,Electra Townie Original 21D - 2016,2,549.99,0.05,1044.981
15,12,Electra Townie Original 21D - 2016,2,549.99,0.07,1022.9814
26,12,Electra Townie Original 21D - 2016,1,549.99,0.2,439.992
32,12,Electra Townie Original 21D - 2016,2,549.99,0.07,1022.9814
43,12,Electra Townie Original 21D - 2016,2,549.99,0.05,1044.981
65,12,Electra Townie Original 21D - 2016,1,549.99,0.1,494.991
66,12,Electra Townie Original 21D - 2016,1,549.99,0.07,511.4907
67,12,Electra Townie Original 21D - 2016,2,549.99,0.1,989.982
72,12,Electra Townie Original 21D - 2016,1,549.99,0.05,522.4905
76,12,Electra Townie Original 21D - 2016,1,549.99,0.05,522.4905
94,12,Electra Townie Original 21D - 2016,1,549.99,0.05,522.4905
100,12,Electra Townie Original 21D - 2016,2,549.99,0.05,1044.981
101,12,Electra Townie Original 21D - 2016,2,549.99,0.2,879.984
5,26,Electra Townie Original 7D EQ - 2016,1,599.99,0.07,557.9907
